LNAME,FNAME,ID
Aardsma,David,aardd001
Aaron,Hank,aaroh101
Aaron,Tommie,aarot101
Aase,Don,aased001
Abad,Andy,abada001
Abad,Fernando,abadf001
Abadie,John,abadj101
Abbaticchio,Ed,abbae101
Abbey,Bert,abbeb101
Abbey,Charlie,abbec101
Abbott,Dan,abbod101
Abbott,Fred,abbof101
Abbott,Glenn,abbog001
Abbott,Jeff,abboj002
Abbott,Jim,abboj001
Abbott,Kurt,abbok002
Abbott,Kyle,abbok001
Abbott,Ody,abboo101
Abbott,Paul,abbop001
Abbott,Spencer,abbos801
Aber,Al,abera101
Abercrombie,Frank,aberd101
Abercrombie,Reggie,aberr001
Abernathie,Bill,aberb101
Abernathy,Brent,aberb001
Abernathy,Ted,abert102
Abernathy,Ted,abert101
Abernathy,Woody,aberw101
Aberson,Cliff,aberc101
Ables,Harry,ableh101
Abner,Shawn,abnes001
Abrams,Cal,abrac101
Abrams,George,abrag101
Abrego,Johnny,abrej001
Abreu,Bobby,abreb001
Abreu,Joe,abrej101
Abreu,Jose,abrej003
Abreu,Juan,abrej002
Abreu,Tony,abret001
Abreu,Winston,abrew001
Abstein,Bill,abstb101
Accardo,Jeremy,accaj001
Acevedo,Jose,acevj002
Acevedo,Juan,acevj001
Aceves,Alfredo,aceva001
Achter,A.J.,achta001
Acker,Jim,ackej001
Acker,Tom,acket101
Ackley,Dustin,ackld001
Ackley,Fritz,acklf101
Acosta,Cy,acosc101
Acosta,Ed,acose101
Acosta,Jose,acosj101
Acosta,Manny,acosm001
Acosta,Merito,acosm101
Acosta,Oscar,acoso801
Acre,Mark,acrem001
Acta,Manny,actam801
Adair,Bill,adaib801
Adair,Jerry,adaij101
Adair,Jimmy,adaij102
Adair,Rick,adair801
Adames,Cristhian,adamc001
Adams,Ace,adama101
Adams,Austin,adama001
Adams,Babe,adamb104
Adams,Bob,adamb107
Adams,Bob,adamb102
Adams,Bob,adamb105
Adams,Bobby,adamb103
Adams,Buster,adamb101
Adams,Clarence,adamc901
Adams,Dan,adamd103
Adams,David,adamd001
Adams,Dick,adamd102
Adams,Doug,adamd101
Adams,George,adamg102
Adams,Glenn,adamg101
Adams,Harry,adamj901
Adams,Herb,adamh101
Adams,Jack,adamb106
Adams,Jim,adamj101
Adams,Joe,adamj102
Adams,Karl,adamk101
Adams,Lane,adaml001
Adams,Matt,adamm002
Adams,Mike,adamm102
Adams,Mike,adamm001
Adams,Red,adamr101
Adams,Rick,adamr102
Adams,Ricky,adamr001
Adams,Russ,adamr002
Adams,Ryan,adamr003
Adams,Sparky,adams101
Adams,Spencer,adams102
Adams,Terry,adamt001
Adams,Willie,adamw101
Adams,Willie,adamw001
Adamson,Joel,adamj001
Adamson,Mike,adamm101
Adcock,Joe,adcoj101
Adcock,Nathan,adcon001
Addis,Bob,addib101
Adduci,Jim,adduj001
Adduci,Jim,adduj002
Addy,Bob,addyb101
Adenhart,Nick,adenn001
Aderholt,Morrie,aderm101
Adkins,Dewey,adkid103
Adkins,Dick,adkid101
Adkins,Doc,adkid102
Adkins,Grady,adkig101
Adkins,Jon,adkij001
Adkins,Steve,adkis001
Adleman,Tim,adlet001
Adler,,adleu901
Adlesh,Dave,adled101
Adrianza,Ehire,adrie001
Afenir,Troy,afent001
Affeldt,Jeremy,affej001
Agbayani,Benny,agbab001
Agee,Tommie,ageet101
Agganis,Harry,aggah101
Agler,Joe,aglej101
Agnew,Sam,agnes101
Agosto,Juan,agosj001
Aguayo,Luis,agual001
Aguila,Chris,aguic001
Aguilar,Jesus,aguij001
Aguilera,Rick,aguir001
Aguirre,Hank,aguih101
Ahearn,William,aheac101
Ahearne,Pat,aheap001
Ahmed,Nick,ahmen001
Aikens,Willie,aikew001
Ainge,Danny,aingd101
Ainsmith,Eddie,ainse101
Ainsworth,Kurt,ainsk001
Aitchison,Raleigh,aitcr101
Aiton,George,aitog101
Ake,John,ake-j101
Aker,Jack,akerj102
Akerfelds,Darrel,akerd001
Akers,Bill,akerb101
Akers,Jerry,akerj101
Alba,Gibson,albag001
Albaladejo,Jonathan,albaj001
Albanese,Joe,albaj101
Alberro,Jose,albej001
Albers,Andrew,albea001
Albers,Matt,albem001
Alberto,Hanser,albeh001
Alberts,Butch,albeb101
Alberts,Cy,albec101
Alberts,Gus,albeg101
Albosta,Ed,alboe101
Albrecht,Ed,albre101
Albright,Jack,albrj101
Alburquerque,Al,albua001
Albury,Vic,albuv101
Alcala,Santo,alcas101
Alcantara,Arismendy,alcaa001
Alcantara,Israel,alcai001
Alcantara,Raul,alcar001
Alcaraz,Luis,alcal101
Alcock,Scotty,alcos101
Alderson,Dale,alded101
Aldred,Scott,aldrs001
Aldrete,Mike,aldrm001
Aldrich,Jay,aldrj001
Aldridge,Cory,aldrc001
Aldridge,Vic,aldrv101
Alejo,Bob,alejb801
Aleno,Chuck,alenc101
Alexander,Bob,alexb101
Alexander,Dale,alexd101
Alexander,Doyle,alexd001
Alexander,Gary,alexg101
Alexander,Gerald,alexg001
Alexander,Hugh,alexh101
Alexander,Manny,alexm001
Alexander,Matt,alexm101
Alexander,Nin,alexn101
Alexander,Pete,alexg102
Alexander,Scott,alexs001
Alexander,Walt,alexw101
Alfaro,Jason,alfaj001
Alfaro,Jorge,alfaj002
Alfonseca,Antonio,alfoa001
Alfonso,Carlos,alfoc801
Alfonzo,Edgardo,alfoe001
Alfonzo,Eliezer,alfoe002
Alicea,Luis,alicl001
Allanson,Andy,allaa001
Allard,Brian,allab101
Allen,Bernie,alleb105
Allen,Bob,alleb103
Allen,Bob,alleb104
Allen,Bob,alleb102
Allen,Bob,alleb101
Allen,Brandon,alleb001
Allen,Chad,allec001
Allen,Cody,allec002
Allen,Dick,alled101
Allen,Dusty,alled001
Allen,Ethan,allee101
Allen,Frank,allef101
Allen,Ham,alleh102
Allen,Hank,alleh104
Allen,Hezekiah,alleh103
Allen,Horace,alleh101
Allen,Jack,allej103
Allen,Jamie,allej101
Allen,John,allej104
Allen,Johnny,allej102
Allen,Kim,allek101
Allen,Lloyd,allel101
Allen,Luke,allel001
Allen,Myron,allem101
Allen,Neil,allen001
Allen,Nick,allen101
Allen,Pete,allep101
Allen,Rod,aller001
Allen,Ron,aller101
Allen,Sled,alles101
Allenson,Gary,alleg001
Allensworth,Jermaine,allej001
Alley,Gene,alleg101
Allie,Gair,allig101
Allietta,Bob,allib101
Allison,Andy,allia102
Allison,Art,allia101
Allison,Bill,allib102
Allison,Bob,allib103
Allison,Dana,allid001
Allison,Doug,allid101
Allison,Mack,allim102
Allison,Milo,allim101
Allred,Beau,allrb001
Almada,Mel,almam101
Almanza,Armando,almaa001
Almanzar,Carlos,almac001
Almeida,Rafael,almer101
Almon,Bill,almob001
Almonte,Abraham,almoa001
Almonte,Edwin,almoe002
Almonte,Erick,almoe001
Almonte,Hector,almoh001
Almonte,Miguel,almom001
Almonte,Zoilo,almoz001
Almora,Albert,almoa002
Aloma,Luis,aloml101
Alomar,Roberto,alomr001
Alomar,Sandy,aloms101
Alomar,Sandy,aloms001
Alonso,Yonder,alony001
Alou,Felipe,alouf101
Alou,Jesus,alouj101
Alou,Matty,aloum101
Alou,Moises,aloum001
Alpermann,Whitey,alpew101
Alston,Dave,alstd901
Alston,Dell,alstd101
Alston,Garvin,alstg001
Alston,Tom,alstt101
Alston,Walter,alstw101
Altamirano,Porfi,altap001
Altavilla,Dan,altad001
Alten,Ernie,altee101
Altenburg,Jesse,altej101
Altherr,Aaron,altha001
Altizer,Dave,altid101
Altman,George,altmg101
Altobelli,Joe,altoj101
Altrock,Nick,altrn101
Altuve,Jose,altuj001
Alusik,George,alusg101
Alvarado,Luis,alval101
Alvarez,Abe,alvaa001
Alvarez,Clemente,alvac001
Alvarez,Dariel,alvad002
Alvarez,Dario,alvad001
